domain,takedown_page,takedown_type,takedown_email,last_checked
allsex.xxx,,unknown,,2026-03-12 01:05:04.444142
4kpornvideos.tv,https://4kpornvideos.tv/dmca,form,,2026-03-12 01:07:19.874506
ahindian.com,https://ahindian.com#,form,,2026-03-12 01:07:26.776308
antarvasna3.com,https://antarvasna3.com//www.dmca.com/Protection/Status.aspx?ID=9ba6f922-1a4a-4b0e-a215-7e2304edbc64,form,,2026-03-12 01:07:38.673541
antarvasnabf.com,https://www.antarvasnabf.com/report-content/,form,,2026-03-12 01:07:47.821821
anyscr.com,,unknown,,2026-03-12 01:08:06.679973
auburn.edu,,unknown,,2026-03-12 01:08:26.679237
auntymaza.watch,https://auntymaza.video/contact-us/,form,,2026-03-12 01:08:36.352039
babeporn.org,https://babeporn.org/contact/,form,,2026-03-12 01:08:44.297332
bobosco.com,,unknown,,2026-03-12 01:08:51.767560
desi-xnxx.pro,https://desi-xnxx.pro/dmca/,form,,2026-03-12 01:09:12.170681
desi49.com.co,https://desi49.com.co/dmca/,form,,2026-03-12 01:09:18.356690
desibhabhi.org,,unknown,,2026-03-12 01:09:27.091207
desibp.cam,https://desibp.cam/dmca/,form,,2026-03-12 01:10:13.514797
desichudai.best,,email,,2026-03-12 01:10:23.687316
desihoes.com,,unknown,,2026-03-12 01:11:07.086622
desihotmms.net,https://desihotmms.net/dmca/,form,,2026-03-12 01:11:17.520888
desii49.com,https://desii49.com/dmca/,form,,2026-03-12 01:11:37.070000
desikahani2.net,,unknown,,2026-03-12 01:11:51.609999
desileak.xyz,https://desileak.xyz/dmca,form,,2026-03-12 01:12:05.966577
desileak49.com,https://desileak49.com/html/dmca.php,email,desileak49@proton.me,2026-03-12 01:12:18.676916
desimms2.site,https://www.desimms2.site/report-content/,form,,2026-03-12 01:12:29.299887
desimmsvideo.com,https://desimmsvideo.com/dmca/,unknown,,2026-03-12 01:12:39.142218
desiporn.xxx,,unknown,,2026-03-12 01:12:58.817565
desipornlist.com,https://desipornlist.com/contact/,form,,2026-03-12 01:13:09.289670
desirusx.com,https://desirusx.com/dmca-content-removal,form,,2026-03-12 01:13:18.614709
desisex.site,https://desisex.site/content-complaint/,email,admin+privacypolicy@desisex.site,2026-03-12 01:13:54.695680
desitales2.com,,unknown,,2026-03-12 01:14:07.668821
desixclip.me,,unknown,,2026-03-12 01:14:22.181467
dinotube.com,https://dinotube.com/contact/,email,dmca@tubetraffic.com,2026-03-12 01:15:02.274232
dropmasti.com,,unknown,,2026-03-12 01:15:16.123003
dropmms.co,https://dropmms.co/dmca.php,form,,2026-03-12 01:15:25.772290
freepspace.com,https://freepspace.com/contact/e1d0,form,,2026-03-12 01:16:22.995268
fsiblog.pro,https://fsiblog.pro/dmca/,form,,2026-03-12 01:16:42.309917
fsiblog.run,https://www.fsiblog.run/contact-us/,form,,2026-03-12 01:16:50.892294
hdpornfree.xxx,https://hdpornfree.xxx/contact.php,form,,2026-03-12 01:17:01.909054
hotindiansexy.com,,unknown,,2026-03-12 01:17:48.889163
ijavhd.com,,unknown,,2026-03-12 01:17:59.232768
indianporncave.mobi,,unknown,,2026-03-12 01:20:04.040716
indianpornlist.com,https://indianpornlist.com/add-your-site/,unknown,,2026-03-12 01:20:12.455422
indianpornsites.net,,unknown,,2026-03-12 01:20:28.245346
indianptv.com,,unknown,,2026-03-12 01:20:40.208853
indianpworld.com,,unknown,,2026-03-12 01:20:52.028003
indianxclips.com,https://indianxclips.com/dmca/,form,,2026-03-12 01:21:45.036826
iporntv.net,,unknown,,2026-03-12 01:22:20.502024
jennymovies.com,https://jennymovies.com/dmca/,form,,2026-03-12 01:22:38.457557
kamababa.desi,https://www.thekamababa.com/contact-us/,form,,2026-03-12 01:22:53.740423
khalifa-escorts.com,https://khalifa-escorts.comcontact-us.html,email,info@khalifa-escorts.com,2026-03-12 01:23:00.814200
leakedviral.com,,unknown,,2026-03-12 01:23:11.722127
letsporn.com,https://letsporn.com/dmca,form,,2026-03-12 01:23:27.059394
lobstertube.com,https://lobstertube.com/contact/,email,dmca@tubetraffic.com,2026-03-12 01:23:46.123975
m-xnxx.com,,unknown,,2026-03-12 01:23:59.777711
megaxh.com,https://megaxh.com/info/contact,form,,2026-03-12 01:24:31.221561
metaporn.com,https://metaporn.com/contact/,email,dmca@tubetraffic.com,2026-03-12 01:24:47.547008
mmsgram.com,https://mmsgram.com/dmca/,form,,2026-03-12 01:25:00.204436
mmsxposure.com,https://mmsxposure.com/contact-support/,form,,2026-03-12 01:25:54.879737
mmsxxx.com,https://www.mmsxxx.com/dmca/,form,,2026-03-12 01:26:05.347374
mydesi.click,,unknown,,2026-03-12 01:26:19.286597
mydesi.ltd,https://mydesi.ltd/dmca/,form,,2026-03-12 01:26:37.375056
mydesi.one,https://mydesi.one/dmca/,form,,2026-03-12 01:30:09.573818
mydesi.rent,https://mydesi.rent/dmca/,form,,2026-03-12 01:30:23.196728
mydesi.sbs,https://mydesi.sbs/dmca/,form,,2026-03-12 01:30:30.820561
mydesi2.bond,https://www.mydesi2.bond/dmca/,form,,2026-03-12 01:30:39.107010
noodlemagazine.com,https://noodlemagazine.com/removal,form,,2026-03-12 01:31:10.170899
onlydesiporn.com,https://www.onlydesiporn.com/dmca.php,form,,2026-03-12 01:31:17.560663
onlyindianpornx.net,,unknown,,2026-03-12 01:31:23.768392
originalindianporn.pro,,unknown,,2026-03-12 01:31:31.268893
parivahan-sewa.com,https://parivahan-sewa.com/contact-us/,form,,2026-03-12 01:31:43.940096
pervindian.com,,unknown,,2026-03-12 01:31:50.311374
pornforindians.net,,unknown,,2026-03-12 01:31:58.923490
pussyspace.com,https://www.pussyspace.com/legal/privacy/,form,,2026-03-12 01:32:39.956757
qorno.com,https://qorno.com/contact/,form,,2026-03-12 01:32:48.511065
quora.com,https://www.quora.com/contact,email,,2026-03-12 01:32:57.145757
erome.com,,unknown,,2026-03-12 01:35:12.836717
indianhiddencams.com,,email,support@araborgasm.com,2026-03-12 01:36:00.387048
imdb.com,,unknown,,2026-03-12 01:41:55.831253
mydesixxx3.com,,unknown,,2026-03-12 02:04:41.239112
porntrex.tv,,email,,2026-03-12 02:05:25.435831
porzo.com,https://porzo.com/notice-and-action-policy/,form,,2026-03-12 02:05:31.419199
smutindia.net,,unknown,,2026-03-12 02:05:55.958850
tataplaybinge.com,,unknown,,2026-03-12 02:06:19.499260
thebestfetishsites.com,,unknown,,2026-03-12 02:06:24.670240
theindiansexstory.com,,unknown,,2026-03-12 02:06:49.344622
thekamababa.com,https://www.dmca.com/Protection/Status.aspx?ID=9ba6f922-1a4a-4b0e-a215-7e2304edbc64,form,,2026-03-12 02:06:54.057595
thepornguy.org,https://thepornguy.orgmailto:pornguywebmaster@gmail.com,email,pornguywebmaster@gmail.com,2026-03-12 02:07:19.072933
thepornlist.net,,unknown,,2026-03-12 02:07:24.580484
thepornmap.com,https://thepornmap.com/dmca,unknown,,2026-03-12 02:07:29.804063
thumbzilla.com,https://thumbzilla.com/information/dmca-form/,form,,2026-03-12 02:07:38.059934
topindianp.com,https://topindianp.com/contact/e829,form,,2026-03-12 02:08:04.080280
tubepleasure.com,https://tubepleasure.com/dmca/,email,abuse.webclicks24@gmail.com,2026-03-12 02:08:09.476729
viralkand.app,https://www.viralkand.app/dmca/,form,,2026-03-12 02:08:35.469123
viralkand.com,https://viralkand.com/dmca/,form,,2026-03-12 02:08:40.161512
viralkand.ink,,unknown,,2026-03-12 02:08:43.968429
viralmms.cc,,unknown,,2026-03-12 02:08:47.836964
viralmms.com,,unknown,,2026-03-12 02:08:51.366478
viralmmsdesi.me,,unknown,,2026-03-12 02:08:55.280476
wvt99.top,https://wvt99.top/dmca/,email,wvt24live@gmail.com,2026-03-12 02:09:00.202503
xchudai.com,,unknown,,2026-03-12 02:09:04.806438
xhaccess.com,https://xhaccess.com/info/contact?subject=abuse,form,,2026-03-12 02:09:10.436576
xhamster.com,https://xhamster.com/info/contact?subject=abuse,form,,2026-03-12 02:09:16.158221
xhamster1.desi,https://xhamster1.desi/info/contact?subject=abuse,form,,2026-03-12 02:09:41.290794
xhamster19.com,https://xhamster19.com/info/contact?subject=abuse,form,,2026-03-12 02:09:46.886007
xnxx.health,,unknown,,2026-03-12 02:10:30.345124
xnxx.place,,unknown,,2026-03-12 02:10:34.258349
xvideos-india.com,https://info.xvideos.net/legal/tos/,form,,2026-03-12 02:10:40.063972
xvideos.tube,https://info.xvideos.net/content/,form,,2026-03-12 02:11:06.066579
xvideos79.com,https://xvideos79.com/dmca/,form,,2026-03-12 02:11:11.077387
xxvideos.video,,unknown,,2026-03-12 02:11:14.616718
xxxbp.tv,https://xxxbp.tv/legal/dmca,form,,2026-03-12 02:11:19.530582
xxxindianfilms.pro,,unknown,,2026-03-12 02:11:23.361140
xxxrapid.in,https://www.xxxrapid.in/dmca-2,form,,2026-03-12 02:11:32.897125
xxxvideoindian2.com,https://www.xxxvideoindian2.com/report-content/,form,,2026-03-12 02:11:38.106969
ixxx.com,,unknown,,2026-03-12T16:18:54.892407
fuq.com,,unknown,,2026-03-12T16:18:54.892407
gaymaltube.com,,unknown,,2026-03-12T16:18:54.892407
maturetube.com,,unknown,,2026-03-12T16:18:54.892407
tgtube.com,,unknown,,2026-03-12T16:18:54.892407
tubepornstars.com,,unknown,,2026-03-12T16:18:54.892407
