domain,cdn_provider,provider_type,removal_page_url,removal_type,contact_email,last_checked,data_quality
desileak49.com,desileak49.com,external_cdn,https://desileak49.com/html/dmca.php,email,desileak49@proton.me,12:18.7,3
desisex.site,    ,embedded_tube,https://desisex.site/content-complaint/,email,admin+privacypolicy@desisex.site,13:54.7,3
dinotube.com,c1.ttcache.com,api_stream,https://dinotube.com/contact/,email,dmca@tubetraffic.com,15:02.3,3
khalifa-escorts.com,www.khalifa-escorts.com,api_stream,https://khalifa-escorts.comcontact-us.html,email,info@khalifa-escorts.com,23:00.8,3
lobstertube.com,c1.ttcache.com,api_stream,https://lobstertube.com/contact/,email,dmca@tubetraffic.com,23:46.1,3
metaporn.com,ttcache.com,external_cdn,https://metaporn.com/contact/,email,dmca@tubetraffic.com,24:47.5,3
thepornguy.org,thepornguy.org,embedded_player,https://thepornguy.orgmailto:pornguywebmaster@gmail.com,email,pornguywebmaster@gmail.com,07:19.1,3
tubepleasure.com,tubepleasure.com,api_stream,https://tubepleasure.com/dmca/,email,abuse.webclicks24@gmail.com,08:09.5,3
wvt99.top,schema.org,api_stream,https://wvt99.top/dmca/,email,wvt24live@gmail.com,09:00.2,3
4kpornvideos.tv,4kpornvideos.tv,external_cdn,https://4kpornvideos.tv/dmca,form,,07:19.9,2
ahindian.com,beacon.min.js,api_stream,https://ahindian.com#,form,,07:26.8,2
antarvasna3.com,antarvasna3.com,self_or_private_cdn,https://antarvasna3.com//www.dmca.com/Protection/Status.aspx?ID=9ba6f922-1a4a-4b0e-a215-7e2304edbc64,form,,07:38.7,2
antarvasnabf.com,antarvasnabf.com,embedded_player,https://www.antarvasnabf.com/report-content/,form,,07:47.8,2
auntymaza.watch,dtscout.com,external_cdn,https://auntymaza.video/contact-us/,form,,08:36.4,2
babeporn.org,babeporn.org,external_cdn,https://babeporn.org/contact/,form,,08:44.3,2
desi-xnxx.pro,desi-xnxx.pro,embedded_player,https://desi-xnxx.pro/dmca/,form,,09:12.2,2
desi49.com.co,desi49.com.co,external_cdn,https://desi49.com.co/dmca/,form,,09:18.4,2
desibp.cam,.,embedded_player,https://desibp.cam/dmca/,form,,10:13.5,2
desihotmms.net,desihotmms.net,external_cdn,https://desihotmms.net/dmca/,form,,11:17.5,2
desii49.com,ltdcdn.net,embedded_player,https://desii49.com/dmca/,form,,11:37.1,2
desileak.xyz,desileak.xyz,embedded_player,https://desileak.xyz/dmca,form,,12:06.0,2
desimms2.site,desimms2.site,external_cdn,https://www.desimms2.site/report-content/,form,,12:29.3,2
desimmsvideo.com,desimmsvideo.com,external_cdn,https://desimmsvideo.com/dmca/,unknown,,12:39.1,2
desipornlist.com,pornhub.com,external_cdn,https://desipornlist.com/contact/,form,,13:09.3,2
desirusx.com,desirusx.com,external_cdn,https://desirusx.com/dmca-content-removal,form,,13:18.6,2
dropmms.co,dropmms.co,external_cdn,https://dropmms.co/dmca.php,form,,15:25.8,2
freepspace.com,www1.acneohno.com,api_stream,https://freepspace.com/contact/e1d0,form,,16:23.0,2
fsiblog.pro,fsiblog.pro,embedded_player,https://fsiblog.pro/dmca/,form,,16:42.3,2
fsiblog.run,www.fsiblog.run,api_stream,https://www.fsiblog.run/contact-us/,form,,16:50.9,2
hdpornfree.xxx,aucdn.net,direct_cdn,https://hdpornfree.xxx/contact.php,form,,17:01.9,2
indianpornlist.com,xnxx2.tv,embedded_player,https://indianpornlist.com/add-your-site/,unknown,,20:12.5,2
indianxclips.com,beacon.min.js,api_stream,https://indianxclips.com/dmca/,form,,21:45.0,2
jennymovies.com,www.jennymovies.com,api_stream,https://jennymovies.com/dmca/,form,,22:38.5,2
kamababa.desi,thekamababa.com,external_cdn,https://www.thekamababa.com/contact-us/,form,,22:53.7,2
letsporn.com,letsporn.com,self_or_private_cdn,https://letsporn.com/dmca,form,,23:27.1,2
megaxh.com,xhpingcdn.com,external_cdn,https://megaxh.com/info/contact,form,,24:31.2,2
mmsgram.com,mmsgram.com,self_or_private_cdn,https://mmsgram.com/dmca/,form,,25:00.2,2
mmsxposure.com,mmsxposure.com,external_cdn,https://mmsxposure.com/contact-support/,form,,25:54.9,2
mmsxxx.com,mmsxxx.com,external_cdn,https://www.mmsxxx.com/dmca/,form,,26:05.3,2
mydesi.ltd,mydesi.ltd,embedded_player,https://mydesi.ltd/dmca/,email,mmsmaza@proton.me,26:37.4,2
mydesi.one,gmpg.org,api_stream,https://mydesi.one/dmca/,email,mmsmaza@proton.me,30:09.6,2
mydesi.rent,mydesi.rent,embedded_player,https://mydesi.rent/dmca/,email,mmsmaza@proton.me,30:23.2,2
mydesi.sbs,beacon.min.js,api_stream,https://mydesi.sbs/dmca/,email,mmsmaza@proton.me,30:30.8,2
mydesi2.bond,beacon.min.js,api_stream,https://www.mydesi2.bond/dmca/,email,mmsmaza@proton.me,30:39.1,2
onlydesiporn.com,onlydesiporn.com,embedded_player,https://www.onlydesiporn.com/dmca.php,form,,31:17.6,2
parivahan-sewa.com,parivahan-sewa.com,external_cdn,https://parivahan-sewa.com/contact-us/,form,,31:43.9,2
porzo.com,ttcache.com,external_cdn,https://porzo.com/notice-and-action-policy/,form,,05:31.4,2
pussyspace.com,pussyspace.com,external_cdn,https://www.pussyspace.com/legal/privacy/,form,,32:40.0,2
qorno.com,c1.ttcache.com,api_stream,https://qorno.com/contact/,form,,32:48.5,2
thekamababa.com,thekamababa.com,self_or_private_cdn,https://www.dmca.com/Protection/Status.aspx?ID=9ba6f922-1a4a-4b0e-a215-7e2304edbc64,form,,06:54.1,2
thepornmap.com,pornhub.com,embedded_player,https://thepornmap.com/dmca,unknown,,07:29.8,2
thumbzilla.com,ypncdn.com,external_cdn,https://thumbzilla.com/information/dmca-form/,form,,07:38.1,2
topindianp.com,www1.acneohno.com,api_stream,https://topindianp.com/contact/e829,form,,08:04.1,2
viralkand.app,viralkand.app,embedded_player,https://www.viralkand.app/dmca/,form,,08:35.5,2
viralkand.com,viralkand.com,external_cdn,https://viralkand.com/dmca/,form,,08:40.2,2
xhaccess.com,xhpingcdn.com,external_cdn,https://xhaccess.com/info/contact?subject=abuse,form,,09:10.4,2
xhamster.com,xhpingcdn.com,external_cdn,https://xhamster.com/info/contact?subject=abuse,form,,09:16.2,2
xhamster1.desi,xhpingcdn.com,external_cdn,https://xhamster1.desi/info/contact?subject=abuse,form,,09:41.3,2
xhamster19.com,xhpingcdn.com,external_cdn,https://xhamster19.com/info/contact?subject=abuse,form,,09:46.9,2
xvideos-india.com,xvideos-cdn.com,external_cdn,https://info.xvideos.net/legal/tos/,form,,10:40.1,2
xvideos.tube,xvideos-cdn.com,external_cdn,https://info.xvideos.net/content/,form,,11:06.1,2
xvideos79.com,xvideos79.com,embedded_player,https://xvideos79.com/dmca/,form,,11:11.1,2
xxxbp.tv,mjedge.net,external_cdn,https://xxxbp.tv/legal/dmca,form,,11:19.5,2
xxxrapid.in,aucdn.net,direct_cdn,https://www.xxxrapid.in/dmca-2,form,,11:32.9,2
xxxvideoindian2.com,xxxvideoindian2.com,external_cdn,https://www.xxxvideoindian2.com/report-content/,form,,11:38.1,2
allsex.xxx,allsex.xxx,external_cdn,,unknown,,05:04.4,1
anyscr.com,anyscr.com,api_stream,,unknown,,08:06.7,1
bobosco.com,bobosco.com,external_cdn,,unknown,,08:51.8,1
desibhabhi.org,sacdnssedge.com,external_cdn,,unknown,,09:27.1,1
desichudai.best,desichudai.best,embedded_player,,email,,10:23.7,1
desihoes.com,desihoes.com,external_cdn,,unknown,,11:07.1,1
desikahani2.net,sacdnssedge.com,external_cdn,,unknown,,11:51.6,1
desiporn.xxx,go.indiancamxxx.com,api_stream,,unknown,,12:58.8,1
desitales2.com,desitales2.com,self_or_private_cdn,,unknown,,14:07.7,1
hotindiansexy.com,.,embedded_player,,unknown,,17:48.9,1
ijavhd.com,ijavhd.com,external_cdn,,unknown,,17:59.2,1
indianhiddencams.com,,unknown,,email,support@araborgasm.com,36:00.4,1
indianporncave.mobi,beacon.min.js,api_stream,,unknown,,20:04.0,1
indianpornsites.net,indianpornsites.net,embedded_player,,unknown,,20:28.2,1
indianptv.com,www1.acneohno.com,api_stream,,unknown,,20:40.2,1
indianpworld.com,www1.acneohno.com,api_stream,,unknown,,20:52.0,1
leakedviral.com,leakedviral.com,external_cdn,,unknown,,23:11.7,1
m-xnxx.com,xnxx-cdn.com,embedded_player,,unknown,,23:59.8,1
mydesi.click,mydesi.click,api_stream,,unknown,,26:19.3,1
mydesixxx3.com,mydesixxx3.com,self_or_private_cdn,,unknown,,04:41.2,1
noodlemagazine.com,,unknown,https://noodlemagazine.com/removal,form,,31:10.2,1
onlyindianpornx.net,beacon.min.js,api_stream,,unknown,,31:23.8,1
originalindianporn.pro,beacon.min.js,api_stream,,unknown,,31:31.3,1
pervindian.com,ogp.me,external_cdn,,unknown,,31:50.3,1
pornforindians.net,beacon.min.js,api_stream,,unknown,,31:58.9,1
porntrex.tv,cdntrex.com,external_cdn,,email,,05:25.4,1
